Price,Color,Mileage,Make,Model,City,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,year,full_option,Car Category
2800000.0,Dark grey,300.0,Kia,Sportage,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2024,Yes,high
1200000.0,Petroleum,131000.0,Fiat,Tipo,Kafr el-Dawwar,Yes,Yes,Yes,Yes,2021,Yes,mid
2050000.0,Black,125000.0,Hyundai,Tucson Turbo GDI,Nasr city,Yes,Yes,Yes,Yes,2021,Yes,high
2050000.0,Gray,84000.0,BMW,X1,Cairo,Yes,Yes,Yes,Yes,2018,Yes,high
700000.0,Blue,75000.0,Chevrolet,Optra,Obour City,Yes,Yes,Yes,Yes,2021,Yes,mid
700000.0,Silver,25000.0,Chery,Arrizo 5,Obour City,No,No,No,No,2021,No,mid
1950000.0,Blue,33000.0,Kia,Sportage,Giza,Yes,Yes,Yes,Yes,2022,Yes,high
400000.0,Black,238000.0,Hyundai,Verna,Faiyum,No,Yes,Yes,Yes,2014,No,low
870000.0,Brown,99000.0,Ford,Focus,El Haram,Yes,Yes,Yes,Yes,2018,Yes,mid
575000.0,Silver,262000.0,Nissan,Tiida,Maadi,No,No,No,No,2011,No,mid
640000.0,Silver,180000.0,Mitsubishi,Lancer Puma,Tagamo3 - New Cairo,Yes,No,No,No,2014,No,mid
1900000.0,Black,98000.0,Opel,Grandland,Nasr city,Yes,Yes,Yes,Yes,2022,Yes,high
830000.0,Red,67000.0,Nissan,Sunny,Alexandria,Yes,Yes,Yes,Yes,2022,Yes,mid
150000.0,White,180000.0,Fiat,Uno,Alexandria,No,No,No,No,2001,No,low
325000.0,Gray,253000.0,Kia,Spectra,Al Shorouk,Yes,No,No,No,2002,No,low
650000.0,Black,199000.0,Toyota,Corolla,Alexandria,No,No,No,No,2008,No,mid
900000.0,White,240000.0,Jac,J3,6 October,Yes,No,No,No,2021,No,mid
1170000.0,Black,48000.0,MG,5,Kafr el-Dawwar,Yes,Yes,Yes,Yes,2022,Yes,mid
285000.0,White,175000.0,Hyundai,Verna,Alexandria,No,No,Yes,Yes,2010,No,low
1500000.0,Black,82500.0,Toyota,Corolla,Cairo,Yes,Yes,Yes,Yes,2021,Yes,high
650000.0,White,150000.0,Nissan,Sunny,Alexandria,Yes,Yes,Yes,Yes,2022,Yes,mid
90000.0,Red,85000.0,Chevrolet,Optra,Giza,Yes,No,No,No,2022,No,low
430000.0,Black,200000.0,Skoda,Octavia A4,Alexandria,Yes,No,No,No,2003,No,low
280000.0,Dark blue,198000.0,Daewoo,Nubira 2,Giza,Yes,Yes,Yes,Yes,2004,Yes,low
240000.0,Silver,250000.0,Kia,Sephia,Tagamo3 - New Cairo,No,Yes,No,Yes,2000,No,low
300000.0,Red,37000.0,Changan,Benni,Helwan,Yes,Yes,No,No,2016,No,low
1000000.0,Silver,96500.0,Opel,Astra,Alexandria,No,No,No,No,2020,No,mid
950000.0,Dark grey,70000.0,Chery,Tiggo 3,El Haram,Yes,Yes,Yes,Yes,2022,Yes,mid
1650000.0,Dark grey,145000.0,Mercedes,E 250,6 October,Yes,Yes,Yes,Yes,2010,Yes,high
800000.0,Mocha,100000.0,Kia,Forte,Damanhur,No,No,No,No,2010,No,mid
660000.0,Silver,300000.0,Jeep,Liberty,El Haram,Yes,Yes,Yes,No,2006,No,mid
680000.0,Black,220000.0,Daihatsu,Grand terios,Warraq,No,No,No,No,2009,No,mid
340000.0,Brown,63000.0,Lada,1500,Suez,No,No,No,No,2020,No,low
550000.0,Black,170000.0,Citroën,C4 Picasso,Shibin el Kom,Yes,Yes,Yes,Yes,2008,Yes,mid
480000.0,Dark grey,149000.0,Byd,F3,El Haram,No,Yes,Yes,Yes,2020,No,low
620000.0,Brown,62000.0,Renault,Logan,Port Said,Yes,Yes,Yes,Yes,2019,Yes,mid
630000.0,Silver,140000.0,Kia,Cerato,Pyramids Gardens,Yes,Yes,No,No,2011,No,mid
1100000.0,White,150000.0,Jeep,Renegade,Shobra,Yes,Yes,Yes,Yes,2017,Yes,mid
380000.0,Dark grey,300000.0,Hyundai,Verna,10th of Ramadan,No,Yes,Yes,Yes,2012,No,low
3800000.0,Black,87000.0,Mercedes,E 200,Sheikh Zayed City,Yes,Yes,Yes,Yes,2020,Yes,high
1175000.0,White,48000.0,MG,ZS,Banha,Yes,Yes,Yes,Yes,2022,Yes,mid
735000.0,White,320000.0,Mercedes,C 200,Heliopolis,Yes,Yes,No,Yes,2002,No,mid
1800000.0,Black,55000.0,Kia,Sportage,Mokattam,Yes,Yes,Yes,Yes,2021,Yes,high
650000.0,Silver,85000.0,Nissan,Sunny,Monufia,Yes,Yes,Yes,Yes,2019,Yes,mid
510000.0,Black,168000.0,Fiat,Punto,6 October,No,No,No,No,2010,No,mid
1000200.0,Red,29000.0,Opel,Astra,Qena,Yes,Yes,Yes,Yes,2019,Yes,mid
89000.0,Blue,100000.0,Fiat,128,Cairo,No,No,No,No,1999,No,low
1950000.0,Black,27000.0,Seat,Ibiza,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2023,Yes,high
550000.0,Red,165000.0,Byd,F3,Cairo,No,Yes,Yes,Yes,2021,No,mid
780000.0,Black,157000.0,Mitsubishi,Lancer EX Shark,Alexandria,No,No,No,No,2016,No,mid
950000.0,Bronze,165000.0,Jeep,Cherokee,Alexandria,No,No,No,No,2010,No,mid
1300000.0,Petroleum,30000.0,Chery,Tiggo 7,Alexandria,No,No,No,No,2021,No,high
310000.0,Red,220000.0,Daewoo,Nubira 2,El Minya,Yes,Yes,Yes,Yes,2005,Yes,low
380000.0,Black,176000.0,Daewoo,Lacetti,Shibin El Qanater,No,No,No,No,2003,No,low
1000000.0,White,35000.0,Zotye,T600,Alexandria,Yes,Yes,Yes,Yes,2019,Yes,mid
950000.0,White,24000.0,Zotye,5008,Tagamo3 - New Cairo,Yes,Yes,Yes,Yes,2019,Yes,mid
495000.0,Gray,230000.0,Renault,Fluence,Giza,Yes,No,No,No,2013,No,low
530000.0,Silver,78000.0,Hyundai,Avante,Al Shorouk,Yes,Yes,Yes,No,2011,No,mid
1085000.0,Brown,45000.0,Suzuki,Ciaz,Pyramids Gardens,Yes,Yes,Yes,Yes,2022,Yes,mid
550000.0,Silver,69000.0,Chevrolet,Optra,Mansoura,Yes,Yes,Yes,Yes,2018,Yes,mid
1070000.0,Blue,75000.0,Renault,Kadjar,El Manial,Yes,Yes,Yes,Yes,2020,Yes,mid
520000.0,Silver,300000.0,Chevrolet,Optra,Shobra,Yes,Yes,Yes,Yes,2016,Yes,mid
300000.0,White,200000.0,Toyota,Corolla,Sheikh Zayed City,No,No,No,No,1995,No,low
580000.0,Silver,170000.0,Volkswagen,Golf,Cairo,No,No,No,No,2011,No,mid
1200000.0,White,47000.0,Kia,Cerato,Dikirnis,Yes,No,No,Yes,2018,No,mid
395000.0,Black,155000.0,Speranza,A620,Monufia,Yes,Yes,Yes,Yes,2013,Yes,low
415000.0,Red,124000.0,Hyundai,Verna,Cairo,No,No,Yes,Yes,2017,No,low
800000.0,White,100000.0,Fiat,500C,Tagamo3 - New Cairo,No,No,No,No,2015,No,mid
1330000.0,White,87000.0,Toyota,Corolla,Red Sea,Yes,Yes,Yes,Yes,2019,Yes,high
630000.0,Dark blue,230000.0,Mercedes,C 180,Cairo,Yes,Yes,Yes,Yes,2002,Yes,mid
445000.0,Dark blue,300000.0,Skoda,Octavia A4,Quesna,Yes,Yes,Yes,Yes,2004,Yes,low
950000.0,Silver,72000.0,Hyundai,Elantra AD,Port Said,Yes,No,No,No,2017,No,mid
350000.0,Silver,52000.0,Speranza,A113,Tanta,No,No,No,No,2010,No,low
500000.0,Silver,185000.0,Kia,Cerato,Cairo,Yes,Yes,Yes,Yes,2008,Yes,low
1290000.0,Blue,34000.0,Renault,Kadjar,Maadi,Yes,Yes,Yes,Yes,2020,Yes,high
850000.0,Black,211000.0,Jeep,Cherokee,El Manial,No,No,No,No,2010,No,mid
1325000.0,Black,25400.0,MG,ZS,Alexandria,Yes,Yes,Yes,Yes,2022,Yes,high
370000.0,Blue,200000.0,Senova,A1,Nasr city,No,No,No,No,2015,No,low
360000.0,Gold,190000.0,Nissan,Sunny,Nasr city,No,No,No,No,2002,No,low
440000.0,Black,290000.0,Jeep,Liberty,Nasr city,No,No,No,No,2002,No,low
1100000.0,Red,30000.0,Jac,JS4,Damietta,Yes,Yes,Yes,Yes,2022,Yes,mid
1900000.0,Silver,120000.0,Hyundai,Tucson Turbo GDI,Madinaty,No,No,No,No,2019,No,high
970000.0,White,91000.0,Toyota,Corolla,Qena,Yes,Yes,Yes,Yes,2019,Yes,mid
1100000.0,White,120000.0,Toyota,Corolla,Nasr city,Yes,No,No,Yes,2018,No,mid
360000.0,Red,273000.0,Brilliance,FRV Cross,6 October,No,Yes,Yes,Yes,2010,No,low
600000.0,Black,113000.0,Renault,Fluence,Cairo,Yes,Yes,Yes,Yes,2013,Yes,mid
